UWID,DateTime,Depth,temp,wqx.id,nhd_id
ME,1996-06-26,15,12,,nhd_13293262
ME,1996-06-26,16,11.7,,nhd_13293262
ME,1996-06-26,17,11.6,,nhd_13293262
ME,1996-06-26,18,11.5,,nhd_13293262
ME,1996-06-26,19,11.3,,nhd_13293262
ME,1996-06-26,20,11.1,,nhd_13293262
ME,1996-06-26,21,10.8,,nhd_13293262
ME,1996-06-26,22,10.8,,nhd_13293262
ME,1996-07-08,0,24.3,,nhd_13293262
ME,1996-07-08,1,24.3,,nhd_13293262
ME,1996-07-08,2,24.3,,nhd_13293262
ME,1996-07-08,3,24.3,,nhd_13293262
ME,1996-07-08,4,24.3,,nhd_13293262
ME,1996-07-08,5,24.3,,nhd_13293262
ME,1996-07-08,6,24.3,,nhd_13293262
ME,1996-07-08,7,24.3,,nhd_13293262
ME,1996-07-08,8,22.7,,nhd_13293262
ME,1996-07-08,9,17,,nhd_13293262
ME,1996-07-08,10,15.2,,nhd_13293262
ME,1996-07-08,11,13.6,,nhd_13293262
ME,1996-07-08,12,12.8,,nhd_13293262
ME,1996-07-08,13,12.6,,nhd_13293262
ME,1996-07-08,14,12.3,,nhd_13293262
ME,1996-07-08,15,12,,nhd_13293262
ME,1996-07-08,16,11.6,,nhd_13293262
ME,1996-07-08,17,11.4,,nhd_13293262
